subscriber_id,subscriber_name,subscriber_mob,subscriber_email,subscriber_address_id,subscriber_sys_cre_date,subscriber_sys_upd_date,subscriber_Active_flag,subscriber_prepaid_plan_id,subscriber_postpaid_plan_id
1,MARY SMITH,54321,MARY.SMITH@sakilacustomer.org,AD_5,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
2,PATRICIA JOHNSON,54322,PATRICIA.JOHNSON@sakilacustomer.org,AD_6,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
3,LINDA WILLIAMS,54323,LINDA.WILLIAMS@sakilacustomer.org,AD_7,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
4,BARBARA JONES,54324,BARBARA.JONES@sakilacustomer.org,AD_8,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
5,ELIZABETH BROWN,54325,ELIZABETH.BROWN@sakilacustomer.org,AD_9,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
6,JENNIFER DAVIS,54326,JENNIFER.DAVIS@sakilacustomer.org,AD_10,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
7,MARIA MILLER,54327,MARIA.MILLER@sakilacustomer.org,AD_11,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
8,SUSAN WILSON,54328,SUSAN.WILSON@sakilacustomer.org,AD_12,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
9,MARGARET MOORE,54329,MARGARET.MOORE@sakilacustomer.org,AD_13,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
10,DOROTHY TAYLOR,54330,DOROTHY.TAYLOR@sakilacustomer.org,AD_14,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
11,LISA ANDERSON,54331,LISA.ANDERSON@sakilacustomer.org,AD_15,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
12,NANCY THOMAS,54332,NANCY.THOMAS@sakilacustomer.org,AD_16,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
13,KAREN JACKSON,54333,KAREN.JACKSON@sakilacustomer.org,AD_17,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
14,BETTY WHITE,54334,BETTY.WHITE@sakilacustomer.org,AD_18,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
15,HELEN HARRIS,54335,HELEN.HARRIS@sakilacustomer.org,AD_19,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
16,SANDRA MARTIN,54336,SANDRA.MARTIN@sakilacustomer.org,AD_20,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
17,DONNA THOMPSON,54337,DONNA.THOMPSON@sakilacustomer.org,AD_21,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
18,CAROL GARCIA,54338,CAROL.GARCIA@sakilacustomer.org,AD_22,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
19,RUTH MARTINEZ,54339,RUTH.MARTINEZ@sakilacustomer.org,AD_23,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
20,SHARON ROBINSON,54340,SHARON.ROBINSON@sakilacustomer.org,AD_24,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
21,MICHELLE CLARK,54341,MICHELLE.CLARK@sakilacustomer.org,AD_25,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
22,LAURA RODRIGUEZ,54342,LAURA.RODRIGUEZ@sakilacustomer.org,AD_26,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
23,SARAH LEWIS,54343,SARAH.LEWIS@sakilacustomer.org,AD_27,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
24,KIMBERLY LEE,54344,KIMBERLY.LEE@sakilacustomer.org,AD_28,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
25,DEBORAH WALKER,54345,DEBORAH.WALKER@sakilacustomer.org,AD_29,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
26,JESSICA HALL,54346,JESSICA.HALL@sakilacustomer.org,AD_30,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
27,SHIRLEY ALLEN,54347,SHIRLEY.ALLEN@sakilacustomer.org,AD_31,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
28,CYNTHIA YOUNG,54348,CYNTHIA.YOUNG@sakilacustomer.org,AD_32,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
29,ANGELA HERNANDEZ,54349,ANGELA.HERNANDEZ@sakilacustomer.org,AD_33,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
30,MELISSA KING,54350,MELISSA.KING@sakilacustomer.org,AD_34,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
31,BRENDA WRIGHT,54351,BRENDA.WRIGHT@sakilacustomer.org,AD_35,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
32,AMY LOPEZ,54352,AMY.LOPEZ@sakilacustomer.org,AD_36,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
33,ANNA HILL,54353,ANNA.HILL@sakilacustomer.org,AD_37,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
34,REBECCA SCOTT,54354,REBECCA.SCOTT@sakilacustomer.org,AD_38,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
35,VIRGINIA GREEN,54355,VIRGINIA.GREEN@sakilacustomer.org,AD_39,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
36,KATHLEEN ADAMS,54356,KATHLEEN.ADAMS@sakilacustomer.org,AD_40,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
37,PAMELA BAKER,54357,PAMELA.BAKER@sakilacustomer.org,AD_41,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
38,MARTHA GONZALEZ,54358,MARTHA.GONZALEZ@sakilacustomer.org,AD_42,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
39,DEBRA NELSON,54359,DEBRA.NELSON@sakilacustomer.org,AD_43,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
40,AMANDA CARTER,54360,AMANDA.CARTER@sakilacustomer.org,AD_44,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
41,STEPHANIE MITCHELL,54361,STEPHANIE.MITCHELL@sakilacustomer.org,AD_45,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
42,CAROLYN PEREZ,54362,CAROLYN.PEREZ@sakilacustomer.org,AD_46,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
43,CHRISTINE ROBERTS,54363,CHRISTINE.ROBERTS@sakilacustomer.org,AD_47,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
44,MARIE TURNER,54364,MARIE.TURNER@sakilacustomer.org,AD_48,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
45,JANET PHILLIPS,54365,JANET.PHILLIPS@sakilacustomer.org,AD_49,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
46,CATHERINE CAMPBELL,54366,CATHERINE.CAMPBELL@sakilacustomer.org,AD_50,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
47,FRANCES PARKER,54367,FRANCES.PARKER@sakilacustomer.org,AD_51,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
48,ANN EVANS,54368,ANN.EVANS@sakilacustomer.org,AD_52,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
49,JOYCE EDWARDS,54369,JOYCE.EDWARDS@sakilacustomer.org,AD_53,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
50,DIANE COLLINS,54370,DIANE.COLLINS@sakilacustomer.org,AD_54,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
51,ALICE STEWART,54371,ALICE.STEWART@sakilacustomer.org,AD_55,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
52,JULIE SANCHEZ,54372,JULIE.SANCHEZ@sakilacustomer.org,AD_56,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
53,HEATHER MORRIS,54373,HEATHER.MORRIS@sakilacustomer.org,AD_57,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
