subscriber_id,subscriber_name,Phone_Number,subscriber_email,address,city,country,created_date,Active_flag,prepaid_plan_description,prepaid_plan_amount,postpaid_plan_description,postpaid_plan_amount,update_date
1,MARY SMITH,54321,MARY.SMITH@sakilacustomer.org,1913 Hanoi Way,Sasebo,Japan,2021-01-01T00:00:00.000+05:30,A,,,unlimited call 40 GB 100 SMS,199,2021-01-01T00:00:00.000+05:30
2,PATRICIA JOHNSON,54322,PATRICIA.JOHNSON@sakilacustomer.org,1121 Loja Avenue,San Bernardino,United States,2021-01-01T00:00:00.000+05:30,A,,,unlimited call 75 GB,299,2021-01-01T00:00:00.000+05:30
3,LINDA WILLIAMS,54323,LINDA.WILLIAMS@sakilacustomer.org,692 Joliet Street,Athenai,Greece,2021-01-01T00:00:00.000+05:30,A,,,unlimited call 100GB,399,2021-01-01T00:00:00.000+05:30
4,BARBARA JONES,54324,BARBARA.JONES@sakilacustomer.org,1566 Inegl Manor,Myingyan,Myanmar,2021-01-01T00:00:00.000+05:30,A,,,unlimited call 150 GB   1000 SMS,499,2021-01-01T00:00:00.000+05:30
5,ELIZABETH BROWN,54325,ELIZABETH.BROWN@sakilacustomer.org,53 Idfu Parkway,Nantou,Taiwan,2021-01-01T00:00:00.000+05:30,A,,,unlimited call 200 GB  100 SMS,749,2021-01-01T00:00:00.000+05:30
6,JENNIFER DAVIS,54326,JENNIFER.DAVIS@sakilacustomer.org,1795 Santiago de Compostela Way,Laredo,United States,2021-01-01T00:00:00.000+05:30,A,unlimited call 1.5GB/Day 28 days,199,,,2021-01-01T00:00:00.000+05:30
7,MARIA MILLER,54327,MARIA.MILLER@sakilacustomer.org,900 Santiago de Compostela Parkway,Kragujevac,Yugoslavia,2021-01-01T00:00:00.000+05:30,A,unlimited call 2GB/Day,299,,,2021-01-01T00:00:00.000+05:30
8,SUSAN WILSON,54328,SUSAN.WILSON@sakilacustomer.org,478 Joliet Way,Hamilton,New Zealand,2021-01-01T00:00:00.000+05:30,A,unlimited call 1.5GB/Day 84 Days,399,,,2021-01-01T00:00:00.000+05:30
9,MARGARET MOORE,54329,MARGARET.MOORE@sakilacustomer.org,613 Korolev Drive,Masqat,Oman,2021-01-01T00:00:00.000+05:30,A,unlimited call 3GB/Day 28 Days,499,,,2021-01-01T00:00:00.000+05:30
10,DOROTHY TAYLOR,54330,DOROTHY.TAYLOR@sakilacustomer.org,1531 Sal Drive,Esfahan,Iran,2021-01-01T00:00:00.000+05:30,A,unlimited call 4GB/Day 56 Days,749,,,2021-01-01T00:00:00.000+05:30
11,LISA ANDERSON,54331,LISA.ANDERSON@sakilacustomer.org,1542 Tarlac Parkway,Sagamihara,Japan,2021-01-01T00:00:00.000+05:30,A,,,,,2021-01-01T00:00:00.000+05:30
12,NANCY THOMAS,54332,NANCY.THOMAS@sakilacustomer.org,808 Bhopal Manor,Yamuna Nagar,India,2021-01-01T00:00:00.000+05:30,A,,,,,2021-01-01T00:00:00.000+05:30
13,KAREN JACKSON,54333,KAREN.JACKSON@sakilacustomer.org,270 Amroha Parkway,Osmaniye,Turkey,2021-01-01T00:00:00.000+05:30,A,,,unlimited call 40 GB 100 SMS,199,2021-01-01T00:00:00.000+05:30
14,BETTY WHITE,54334,BETTY.WHITE@sakilacustomer.org,770 Bydgoszcz Avenue,Citrus Heights,United States,2021-01-01T00:00:00.000+05:30,A,,,unlimited call 75 GB,299,2021-01-01T00:00:00.000+05:30
15,HELEN HARRIS,54335,HELEN.HARRIS@sakilacustomer.org,419 Iligan Lane,Bhopal,India,2021-01-01T00:00:00.000+05:30,A,,,unlimited call 100GB,399,2021-01-01T00:00:00.000+05:30
16,SANDRA MARTIN,54336,SANDRA.MARTIN@sakilacustomer.org,360 Toulouse Parkway,Southend-on-Sea,United Kingdom,2021-01-01T00:00:00.000+05:30,A,,,unlimited call 150 GB   1000 SMS,499,2021-01-01T00:00:00.000+05:30
17,DONNA THOMPSON,54337,DONNA.THOMPSON@sakilacustomer.org,270 Toulon Boulevard,Elista,Russian Federation,2021-01-01T00:00:00.000+05:30,A,,,unlimited call 200 GB  100 SMS,749,2021-01-01T00:00:00.000+05:30
18,CAROL GARCIA,54338,CAROL.GARCIA@sakilacustomer.org,320 Brest Avenue,Kaduna,Nigeria,2021-01-01T00:00:00.000+05:30,A,unlimited call 1.5GB/Day 28 days,199,,,2021-01-01T00:00:00.000+05:30
19,RUTH MARTINEZ,54339,RUTH.MARTINEZ@sakilacustomer.org,1417 Lancaster Avenue,Kimberley,South Africa,2021-01-01T00:00:00.000+05:30,A,unlimited call 2GB/Day,299,,,2021-01-01T00:00:00.000+05:30
20,SHARON ROBINSON,54340,SHARON.ROBINSON@sakilacustomer.org,1688 Okara Way,Mardan,Pakistan,2021-01-01T00:00:00.000+05:30,A,unlimited call 1.5GB/Day 84 Days,399,,,2021-01-01T00:00:00.000+05:30
